Date,Close_Com60,Close_Com120,Close_Com240,K_Open,K_High,K_Low,K_Close
1996-11-26,749.065643,706.077214,662.816158,813.000028,827.919983,813.000028,821.584991
1996-11-27,751.788224,707.268689,663.915662,817.29251,833.150024,817.29251,828.677506
1996-11-29,754.444998,708.437132,665.034381,822.985008,836.150024,822.985008,833.725006
1996-12-02,757.274514,709.714099,666.25996,828.355007,844.630005,828.355007,837.645004
1996-12-03,760.267901,710.918771,667.346323,833.000006,855.789978,833.000006,843.67749
1996-12-04,763.016773,712.045738,668.459959,838.338748,842.580017,835.350006,835.350006
1996-12-05,765.659031,713.225738,669.513844,836.844377,840.900024,835.897506,835.897506
1996-12-06,768.168063,714.423115,670.513968,836.370942,836.659973,826.184998,826.184998
1996-12-09,771.095805,715.883771,671.636075,831.27797,856.659973,831.27797,841.930008
1996-12-10,773.729838,717.38287,672.745951,836.603989,869.710022,836.603989,856.06752
1996-12-11,776.125322,718.929263,673.92124,846.335754,858.200012,846.335754,849.910004
1996-12-12,778.289032,720.39582,675.025125,848.122879,873.0,848.122879,854.024994
1996-12-13,779.997903,721.673853,676.027232,851.073936,851.073936,835.169998,835.169998
1996-12-16,781.242258,722.719837,676.987935,843.121967,843.121967,818.145004,818.145004
1996-12-17,782.516935,723.930903,678.030538,830.633486,830.633486,808.705002,808.705002
1996-12-18,784.018871,725.380493,679.152026,819.669244,836.820007,819.669244,826.299988
1996-12-19,785.798226,726.795082,680.311447,822.984616,846.52002,822.984616,840.832489
1996-12-20,787.369839,728.079919,681.549588,831.908552,853.190002,831.908552,840.952484
1996-12-23,788.645645,729.208771,682.745869,836.430518,837.25,829.37999,829.37999
1996-12-24,790.11,730.481148,683.90372,832.905254,835.400024,829.380005,829.380005
1996-12-26,791.694677,731.867541,685.103182,831.14263,843.590027,831.14263,839.342514
1996-12-27,793.273549,733.324755,686.347067,835.242572,845.049988,835.242572,839.630005
1996-12-30,794.757258,734.722213,687.50591,837.436288,841.320007,832.372497,832.372497
1996-12-31,795.947742,736.038607,688.645786,834.904392,834.904392,824.822494,824.822494
1997-01-02,797.114193,737.334918,689.725455,829.863443,829.863443,817.249985,817.249985
1997-01-03,798.550483,739.075819,690.897066,823.556714,848.179993,823.556714,831.887482
1997-01-06,799.976773,740.864262,692.062356,827.722098,858.179993,827.722098,851.095001
1997-01-07,801.772096,742.976229,693.290455,839.408549,864.549988,839.408549,857.454987
1997-01-08,803.370806,744.933934,694.410083,848.431768,867.369995,848.431768,859.422501
1997-01-09,805.072581,746.783524,695.586488,853.927134,860.190002,853.927134,855.615005
1997-01-10,806.684516,748.601885,696.778761,854.77107,865.580017,854.77107,858.650009
1997-01-13,808.174678,750.498033,697.969463,856.71054,870.619995,856.71054,865.535004
1997-01-14,809.889194,752.607459,699.198348,861.122772,886.380005,861.122772,874.125
1997-01-15,811.448064,754.787377,700.324257,867.623886,883.419983,867.623886,873.307495
1997-01-16,813.348548,756.988852,701.447191,870.46569,880.52002,870.46569,870.722504
1997-01-17,815.390645,759.144999,702.612563,870.594097,885.72998,870.594097,878.889999
1997-01-20,817.866451,761.328524,703.787398,874.742048,903.849976,874.742048,892.3125
1997-01-21,820.722741,763.731967,705.004464,883.527274,915.309998,883.527274,906.127487
1997-01-22,823.558547,766.151639,706.287315,894.82738,925.52002,894.82738,910.747498
1997-01-23,826.209032,768.419917,707.481282,902.787439,938.109985,902.787439,922.277496
1997-01-24,828.706128,770.446966,708.619133,912.532467,915.469971,905.659989,905.659989
1997-01-27,831.096128,772.266474,709.712232,909.096228,921.450012,899.595001,899.595001
1997-01-28,833.669999,774.149835,710.837232,904.345614,908.340027,893.279999,893.279999
1997-01-29,836.187741,775.959425,711.973059,898.812806,898.812806,891.422501,891.422501
1997-01-30,838.763871,777.839261,713.177522,895.117654,911.72998,895.117654,902.090011
1997-01-31,841.441935,779.839507,714.427563,898.603832,926.01001,898.603832,917.745011
1997-02-03,844.05129,781.804261,715.672109,908.174422,928.309998,908.174422,920.759995
1997-02-04,846.412419,783.746146,716.866406,914.467208,918.429993,913.699997,913.699997
1997-02-05,848.033226,785.535409,717.874588,914.083603,916.530029,899.050003,899.050003
1997-02-06,849.486452,787.243196,718.878431,906.566803,906.566803,885.425019,885.425019
1997-02-07,851.118388,789.069016,719.960745,895.995911,901.640015,893.07251,893.07251
1997-02-10,852.204518,790.706556,720.956448,894.53421,902.890015,886.472504,886.472504
1997-02-11,853.456453,792.357868,721.949299,890.503357,890.503357,870.3125,870.3125
1997-02-12,855.098389,794.305655,723.096696,880.407928,900.5,880.407928,886.105011
1997-02-13,856.675646,796.273852,724.347852,883.25647,912.280029,883.25647,905.205002
1997-02-14,858.29613,798.063032,725.580952,894.230736,909.130005,894.230736,903.444992
1997-02-18,859.977421,799.865983,726.744795,898.837864,901.820007,896.934997,896.934997
1997-02-19,861.459195,801.708032,727.942357,897.88643,903.599976,897.877502,897.877502
1997-02-20,862.618711,803.357459,729.061076,897.881966,897.881966,888.497498,888.497498
1997-02-21,863.647906,804.870656,730.187398,893.189732,893.189732,871.715011,871.715011
1997-02-24,864.646132,806.585082,731.322853,882.452372,882.452372,869.625,869.625
1997-02-25,865.626777,808.37582,732.492357,876.038686,892.25,876.038686,882.357498
1997-02-26,866.517583,810.109017,733.591489,879.198092,886.830017,879.198092,880.3125
1997-02-27,866.779035,811.579345,734.575043,879.755296,880.73999,864.554993,864.554993
1997-02-28,867.044358,813.203443,735.520291,872.155144,872.155144,848.330002,848.330002
1997-03-03,867.229035,814.776066,736.441034,860.242573,860.242573,851.910004,851.910004
1997-03-04,867.618229,816.333935,737.402398,856.076288,869.070007,856.076288,860.817505
1997-03-05,868.221777,817.976722,738.463596,858.446896,872.309998,858.446896,867.084991
1997-03-06,868.475165,819.422542,739.455332,862.765944,874.280029,862.212509,862.212509
1997-03-07,868.698068,820.696148,740.398101,862.489226,862.489226,846.770019,846.770019
1997-03-10,868.669036,821.900903,741.460167,854.629623,854.840027,845.032516,845.032516
1997-03-11,868.661616,823.042542,742.478431,849.83107,858.5,849.83107,852.585007
1997-03-12,868.386455,824.000084,743.434051,851.208038,851.208038,843.407501,843.407501
1997-03-13,868.340165,824.925247,744.394464,847.30777,847.30777,840.392502,840.392502
1997-03-14,868.510003,825.763116,745.341943,843.850136,850.169983,841.919998,841.919998
1997-03-17,868.952905,826.491149,746.247935,842.885067,842.885067,831.719986,831.719986
1997-03-18,869.142906,827.262952,747.122976,837.302526,850.869995,833.007492,833.007492
1997-03-19,868.743874,827.879264,747.921447,835.155009,835.155009,816.297501,816.297501
1997-03-20,868.389035,828.502542,748.763307,825.726255,827.02002,816.202499,816.202499
1997-03-21,868.045164,829.060903,749.598513,820.964377,829.419983,818.787491,818.787491
1997-03-24,867.683551,829.533362,750.389051,819.875934,819.875934,803.092483,803.092483
1997-03-25,867.228551,830.104018,751.207563,811.484208,815.26001,806.037506,806.037506
1997-03-26,867.089842,830.922706,752.159257,808.760857,834.570007,808.760857,820.832504
1997-03-27,866.820164,831.506231,753.042274,814.79668,843.349976,814.79668,826.554993
1997-03-31,866.345486,831.94705,753.810786,820.675836,820.675836,807.752487,807.752487
1997-04-01,865.949196,832.255821,754.516778,814.214162,820.830017,799.240005,799.240005
1997-04-02,865.438228,832.412378,755.191199,806.727083,806.727083,789.394989,789.394989
1997-04-03,864.736616,832.833935,755.898761,798.061036,804.669983,793.107483,793.107483
1997-04-04,864.239035,833.394837,756.681364,795.584259,823.900024,795.584259,811.945007
1997-04-07,863.719035,834.057706,757.458307,803.764633,839.73999,803.764633,829.212509
1997-04-08,863.513712,834.670165,758.226364,816.488571,840.409973,816.488571,834.829987
1997-04-09,863.05855,835.135247,758.907026,825.659279,849.789978,825.659279,836.80748
1997-04-10,862.217421,835.449591,759.51343,831.23338,831.23338,821.019989,821.019989
1997-04-11,861.017259,835.632623,760.023017,826.126684,826.126684,801.667496,801.667496
1997-04-14,859.814194,836.050574,760.600662,813.89709,813.89709,797.159989,797.159989
1997-04-15,858.745001,836.388033,761.1431,805.52854,816.580017,802.752502,802.752502
1997-04-16,857.53613,836.817541,761.660951,804.140521,804.140521,796.842499,796.842499
1997-04-17,856.322903,837.404262,762.286943,800.49151,816.080017,800.49151,805.400009
1997-04-18,854.978548,837.951229,762.928926,802.945759,828.369995,802.945759,815.309983
1997-04-21,853.184516,838.39459,763.505662,809.127871,819.710022,809.127871,809.497498
1997-04-22,851.451613,839.005492,764.155496,809.312684,818.080017,807.94751,807.94751
1997-04-23,850.245645,839.795081,764.876323,808.630097,839.109985,808.630097,828.282486
1997-04-24,849.267903,840.66836,765.600331,818.456291,853.690002,818.456291,841.137497
1997-04-25,848.118709,841.342213,766.203761,829.796894,837.75,828.160004,828.160004
1997-04-28,847.128387,841.976639,766.785868,828.978449,833.47998,823.4225,823.4225
1997-04-29,846.544516,842.802459,767.450455,826.200474,856.289978,826.200474,842.832504
1997-04-30,845.948225,843.773852,768.213182,834.516489,877.950012,834.516489,864.975006
1997-05-01,845.312258,844.693606,768.985372,849.745748,886.47998,849.745748,873.859985
1997-05-02,845.174838,845.698442,769.889009,861.802866,909.559998,861.802866,895.822494
1997-05-05,845.442419,846.825246,770.879174,878.81268,932.890015,878.81268,920.419998
1997-05-06,845.886129,847.778033,771.817356,899.616339,932.77002,899.616339,922.69252
1997-05-07,846.269515,848.635164,772.730001,911.15443,923.650024,911.15443,912.942505
1997-05-08,846.583547,849.661558,773.668926,912.048468,926.059998,912.048468,914.517487
1997-05-09,847.341935,850.648279,774.620042,913.282978,930.919983,913.282978,919.865006
1997-05-12,848.195644,851.59,775.610001,916.573992,927.969971,916.573992,922.449997
1997-05-13,848.358064,852.500902,776.574794,919.511994,926.25,917.680008,917.680008
1997-05-14,848.396451,853.456886,777.508182,918.596001,918.596001,909.024994,909.024994
1997-05-15,848.91129,854.490082,778.497604,913.810498,932.400024,913.810498,920.970001
1997-05-16,849.197741,855.366311,779.431653,917.39025,931.789978,917.39025,923.497482
1997-05-19,849.454515,856.293361,780.344794,920.443866,928.22998,916.452484,916.452484
